humanResult,query,text,similarity
1,Available time causes Recreational physical activity,"A barrier to engaging in physical activity that is often cited is the lack of time; at least for adults, however, the availability of leisure time has increased over time.",0.8794988302
1,Obesity causes Weight bias,"Obesity associates individuals with different negative stereotypes, which can encourage others to stigmatize them and discount their worth (Gray et al., 2011; Vander Wal and Mitchell, 2011; Williams et al., 2008).",0.8774846046
1,Supportive food environment causes Healthy eating,"Educating individuals about their physical activity and food environments and motivating them to behave in different ways is a key aspect of obesity preven- tion, but cannot be effective unless the environment is supportive.",0.8762919029
1,Poor body image causes Depression,"Teasing about weight is associated with depression, low self-esteem and body satisfaction, and suicidal thoughts and attempts (Eisenberg et al., 2003).",0.8760018441
1,Unhealthy foods are more available than healthy ones prevents Supportive food environment,"Educating individuals about their physical activity and food environments and motivating them to behave in different ways is a key aspect of obesity preven- tion, but cannot be effective unless the environment is supportive.",0.8734869732
1,Obesity causes Obstructive sleep apnea,"Obese children and adolescents also suffer an array of obesity-related comor- bidities, ranging from sleep apnea, to type 2 diabetes, to hypertension, to liver disease, to orthopedic problems.",0.8729810156
0,Obesity causes Unhealthy weight control practices,"Yet data show that contemporary culture, economics, and society pose many barriers to the types of healthy diets that prevent obesity from occurring and to the difficult tasks of losing excess weight",0.869813395
0,Physical activity causes Physical well-being,"Because recommended levels of physical activity still are not being met, low levels of or decreases in physical activity among adults or children and adolescents can reasonably be attributed to decreases in active transportation (walking or biking), decreases in the availability of physical education classes, and increased and heavy use of television and other electronic media.",0.8693682492
1,Obesity prevents Mental well-being,"As shown in Table 2-1, obesity is associated with major causes of death and disability, as well as with psychosocial consequences that impair functioning and quality of life.",0.8693444704
1,Unhealthy weight control practices causes Obesity,"Yet data show that contemporary culture, economics, and society pose many barriers to the types of healthy diets that prevent obesity from occurring and to the difficult tasks of losing excess weight",0.8692843473
0,Fear of engaging in physical activity prevents Physical activity,"A barrier to engaging in physical activity that is often cited is the lack of time; at least for adults, however, the availability of leisure time has increased over time.",0.8684142686
0,Access to health professionals causes Ability to engage in physical activity,"A barrier to engaging in physical activity that is often cited is the lack of time; at least for adults, however, the availability of leisure time has increased over time.",0.8679231954
0,Obesity causes Unhealthy weight control practices,The United States continues to experience an epidemic of overweight and obesity that compels timely and effective action.,0.8672745758
0,Culture of eating that promotes healthy choices causes Physical well-being,"Yet data show that contemporary culture, economics, and society pose many barriers to the types of healthy diets that prevent obesity from occurring and to the difficult tasks of losing excess weight",0.8671916402
0,Appetite prevents Healthy eating,"Yet data show that contemporary culture, economics, and society pose many barriers to the types of healthy diets that prevent obesity from occurring and to the difficult tasks of losing excess weight",0.8671631983
1,Obesity prevents Mental well-being,"Obesity associates individuals with different negative stereotypes, which can encourage others to stigmatize them and discount their worth (Gray et al., 2011; Vander Wal and Mitchell, 2011; Williams et al., 2008).",0.8669273566
